"","gene_node_idx","gene_node_name","Weight1","node1","Weight2","node2","t2ds_no_t2ds_pvalue","pret2ds_no_t2ds_pvalue"
"70",566,"IL1RAP",0.311112381483333,"node_type1",0.310973664969231,"node_type2",0.0014563815647436,0.0130418762220774
"71",568,"IL23A",0.0394598582318229,"node_type1",0.0386439239289312,"node_type2",0.0704118856212451,0.298837481920515
"72",594,"IRF3",0.0836914968861916,"node_type1",0.0836228485294292,"node_type2",0.0361647540640318,0.16233127805604
"73",596,"IRF7",0.0936932958846497,"node_type1",0.0943744838076338,"node_type2",0.294207572993023,2.63834300086723e-05
"74",600,"ITCH",0.141304823981498,"node_type1",0.141967676908532,"node_type2",0.0067159891752753,0.0591246899284761
"75",660,"LAT",0.0334969909434418,"node_type1",0.0334911181112805,"node_type2",0.0294374992175918,0.189587109295025
"76",661,"LATS1",0.148289639431944,"node_type1",0.148249329895166,"node_type2",0.0204157198047162,0.0136567594616306
"77",662,"LATS2",0.148688083691789,"node_type1",0.148657888176282,"node_type2",0.0052606420677571,0.0119349599897146
"78",663,"LCK",0.136508897614975,"node_type1",0.137515200186664,"node_type2",0.127028981614826,0.0941155894489665
"79",681,"LIMD1",0.236385039793028,"node_type1",0.236197025112536,"node_type2",0.0472996838525119,0.104120069851343
"80",694,"LSP1",0.113077906116861,"node_type1",0.113129601067711,"node_type2",0.149342182421223,0.101632824587662
"81",700,"LY96",0.362029550665988,"node_type1",0.363657175061302,"node_type2",0.0010006614007719,0.164110438280262
"82",745,"MAPKAPK2",0.0489858496453234,"node_type1",0.0488900072582864,"node_type2",0.0349107021836126,0.154717865929387
"83",747,"MAPKAPK5",0.243492315255293,"node_type1",0.243564952410154,"node_type2",0.018817287852054,0.0629546909196514
"84",749,"MAVS",0.057453999688263,"node_type1",0.0574868048232649,"node_type2",0.565459286725995,0.265769597682572
"85",771,"MEFV",0.195790120637221,"node_type1",0.195705202166724,"node_type2",0.0758460189443076,0.256185209599932
"86",772,"MFN1",0.142857142857143,"node_type1",0.142857142857143,"node_type2",0.0446547648445155,0.201108941613241
"87",773,"MFN2",0.142857142857143,"node_type1",0.142857142857143,"node_type2",0.0774525289700481,0.0273278004630596
"88",783,"MOB1A",0.25,"node_type1",0.25,"node_type2",0.0289307412897612,0.0143948192159862
"89",784,"MOB1B",0.25,"node_type1",0.25,"node_type2",0.228353331680859,0.310289635343861
"90",787,"MS4A2",0.0567908295699004,"node_type1",0.0566618066614377,"node_type2",0.0066220197606507,0.135936150945522
"91",800,"NAIP",0.336700426828137,"node_type1",0.336860814533205,"node_type2",0.112665602688342,0.383523060394387
"92",815,"NF2",0.147761462589061,"node_type1",0.147987975782671,"node_type2",0.17551918856507,0.228123307899731
"93",826,"NLRC4",0.134064372190648,"node_type1",0.133787704309675,"node_type2",0.26261359276678,0.0294193447466303
"94",827,"NLRP1",0.0971178695957488,"node_type1",0.0970266669170627,"node_type2",0.0272597290375435,0.169688974213678
"95",829,"NLRP3",0.0961566780745278,"node_type1",0.0957284454609328,"node_type2",0.0112444124923071,0.0779441255677453
"96",833,"NOD1",0.197033065346728,"node_type1",0.198071321529167,"node_type2",0.257213801117693,0.0638643990348177
"97",834,"NOD2",0.51756458015122,"node_type1",0.517476665600953,"node_type2",0.0893714850860372,0.102611573267765
"98",921,"PIN1",0.207820144980392,"node_type1",0.207703800554487,"node_type2",0.155951777796762,0.208831507277182
"99",924,"PKN2",0.0953848095384723,"node_type1",0.0953732781458056,"node_type2",0.055557903982867,0.0601891122739148
"100",1022,"PSTPIP1",0.5,"node_type1",0.5,"node_type2",0.133835449921262,0.385806207327665
"101",1040,"PYCARD",0.161373351579768,"node_type1",0.16249498036243,"node_type2",0.0400084144280035,0.0347708437082394
