"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"INTERPRO","Ras_GEF_dom_sf","3","142","31","20827","1.86e-2","1.56e-1","14.19","1.00e+0","1.46e-1","1.21e-3","RAPGEF1,RGL1,RGL2"
"INTERPRO","RASGEF_cat_dom_sf","3","142","31","20827","1.86e-2","1.56e-1","14.19","1.00e+0","1.46e-1","1.21e-3","RAPGEF1,RGL1,RGL2"
"GOTERM_BP_DIRECT","vesicle docking involved in exocytosis","3","142","29","19512","1.85e-2","1.27e-1","14.21","1.00e+0","1.13e-1","1.20e-3","EXOC7,EXOC2,ARF6"
"GOTERM_BP_DIRECT","protein targeting to mitochondrion","3","142","29","19512","1.85e-2","1.27e-1","14.21","1.00e+0","1.13e-1","1.20e-3","PIN1,MFN2,BID"
"GOTERM_BP_DIRECT","positive regulation of activated T cell proliferation","3","142","29","19512","1.85e-2","1.27e-1","14.21","1.00e+0","1.13e-1","1.20e-3","PYCARD,IL23A,FADD"
"GOTERM_BP_DIRECT","cGAS/STING signaling pathway","3","142","29","19512","1.85e-2","1.27e-1","14.21","1.00e+0","1.13e-1","1.20e-3","TBK1,STING1,IRF3"
"GOTERM_BP_DIRECT","negative regulation of protein localization to nucleus","3","142","29","19512","1.85e-2","1.27e-1","14.21","1.00e+0","1.13e-1","1.20e-3","LATS1,LATS2,CTNNA1"
"SMART","RasGEFN","3","107","21","10704","1.80e-2","1.76e-1","14.29","7.99e-1","1.60e-1","1.13e-3","RAPGEF1,RGL1,RGL2"
"GOTERM_CC_DIRECT","phagocytic cup","3","142","30","20808","1.75e-2","1.00e-1","14.65","9.86e-1","8.34e-2","1.10e-3","TRIP10,CLEC4E,TLR4"
"UP_SEQ_FEATURE","DOMAIN:Ras-GEF","3","141","30","20669","1.75e-2","5.57e-1","14.66","1.00e+0","5.50e-1","1.10e-3","RAPGEF1,RGL1,RGL2"
"GOTERM_BP_DIRECT","protein complex oligomerization","3","142","27","19512","1.62e-2","1.14e-1","15.27","1.00e+0","1.01e-1","9.71e-4","IFIH1,STING1,CD247"
"GOTERM_BP_DIRECT","protein autoprocessing","3","142","26","19512","1.50e-2","1.07e-1","15.85","1.00e+0","9.42e-2","8.68e-4","CASP4,CASP1,CARD16"
"GOTERM_BP_DIRECT","negative regulation of hippo signaling","3","142","25","19512","1.40e-2","1.02e-1","16.49","1.00e+0","8.97e-2","7.72e-4","SIKE1,LIMD1,SAV1"
"GOTERM_BP_DIRECT","regulation of protein-containing complex assembly","3","142","25","19512","1.40e-2","1.02e-1","16.49","1.00e+0","8.97e-2","7.72e-4","LATS1,TICAM1,IKBKE"
"GOTERM_MF_DIRECT","protein serine/threonine kinase binding","3","142","24","19272","1.32e-2","9.10e-2","16.96","9.88e-1","7.92e-2","7.08e-4","MAVS,STING1,NAIP"
"GOTERM_BP_DIRECT","Fc-epsilon receptor signaling pathway","3","142","24","19512","1.29e-2","9.60e-2","17.18","1.00e+0","8.48e-2","6.83e-4","FCER1G,SYK,FCER1A"
"INTERPRO","Ras-like_GEF","3","142","25","20827","1.23e-2","1.21e-1","17.60","9.97e-1","1.14e-1","6.39e-4","RAPGEF1,RGL1,RGL2"
"GOTERM_MF_DIRECT","phospholipase binding","3","142","23","19272","1.22e-2","8.75e-2","17.70","9.83e-1","7.61e-2","6.23e-4","SYK,LCK,FYN"
"GOTERM_BP_DIRECT","stimulatory C-type lectin receptor signaling pathway","3","142","23","19512","1.19e-2","9.04e-2","17.92","1.00e+0","7.99e-2","6.01e-4","SYK,CLEC7A,FYN"
"GOTERM_BP_DIRECT","positive regulation of proteolysis","3","142","22","19512","1.09e-2","8.34e-2","18.74","1.00e+0","7.37e-2","5.25e-4","CASP8,FBXW11,FADD"
"GOTERM_BP_DIRECT","defense response to other organism","3","142","22","19512","1.09e-2","8.34e-2","18.74","1.00e+0","7.37e-2","5.25e-4","PYCARD,TBK1,FADD"
"UP_SEQ_FEATURE","DOMAIN:N-terminal Ras-GEF","3","141","23","20669","1.05e-2","4.46e-1","19.12","1.00e+0","4.40e-1","4.98e-4","RAPGEF1,RGL1,RGL2"
"INTERPRO","Ras-like_Gua-exchang_fac_N","3","142","23","20827","1.05e-2","1.21e-1","19.13","9.93e-1","1.14e-1","4.97e-4","RAPGEF1,RGL1,RGL2"
"GOTERM_BP_DIRECT","positive regulation of stress-activated MAPK cascade","3","142","21","19512","9.95e-3","7.75e-2","19.63","1.00e+0","6.85e-2","4.56e-4","NOD1,NOD2,TLR4"
"GOTERM_MF_DIRECT","peptidoglycan binding","3","142","20","19272","9.26e-3","6.81e-2","20.36","9.54e-1","5.93e-2","4.07e-4","NLRP3,NOD1,NOD2"
"GOTERM_BP_DIRECT","positive regulation of tumor necrosis factor-mediated signaling pathway","3","142","19","19512","8.18e-3","6.52e-2","21.70","1.00e+0","5.76e-2","3.36e-4","CASP4,CASP1,CARD16"
"GOTERM_BP_DIRECT","response to other organism","3","142","19","19512","8.18e-3","6.52e-2","21.70","1.00e+0","5.76e-2","3.36e-4","BCL3,MEFV,BCL2L1"
"GOTERM_CC_DIRECT","plasma membrane protein complex","3","142","18","20808","6.50e-3","4.33e-2","24.42","7.91e-1","3.61e-2","2.36e-4","FCER1G,CTNNA1,CD247"
